lag_2,lag_1,target
3.238833596697077e-05,3.5941338561921533e-05,1.7564218978805002e-05
3.5941338561921533e-05,1.7564218978805002e-05,2.0587537619576324e-05
1.7564218978805002e-05,2.0587537619576324e-05,1.1351490305363162e-05
2.0587537619576324e-05,1.1351490305363162e-05,2.022189755734871e-05
1.1351490305363162e-05,2.022189755734871e-05,2.024487556203288e-05
2.022189755734871e-05,2.024487556203288e-05,2.0267853566717047e-05
2.024487556203288e-05,2.0267853566717047e-05,2.0552515828361117e-05
2.0267853566717047e-05,2.0552515828361117e-05,2.0837178090005183e-05
2.0552515828361117e-05,2.0837178090005183e-05,1.34103317274518e-05
2.0837178090005183e-05,1.34103317274518e-05,1.799496537084148e-05
1.34103317274518e-05,1.799496537084148e-05,2.4120166472130226e-05
1.799496537084148e-05,2.4120166472130226e-05,2.2416242018152843e-05
2.4120166472130226e-05,2.2416242018152843e-05,2.0712317564175464e-05
2.2416242018152843e-05,2.0712317564175464e-05,1.878525836218614e-05
2.0712317564175464e-05,1.878525836218614e-05,2.744676976362825e-05
1.878525836218614e-05,2.744676976362825e-05,2.349754428602561e-05
2.744676976362825e-05,2.349754428602561e-05,2.2445536615123277e-05
2.349754428602561e-05,2.2445536615123277e-05,2.1393528944220936e-05
2.2445536615123277e-05,2.1393528944220936e-05,1.5970175203013543e-05
2.1393528944220936e-05,1.5970175203013543e-05,2.835438211453341e-05
1.5970175203013543e-05,2.835438211453341e-05,4.073858902605328e-05
2.835438211453341e-05,4.073858902605328e-05,2.6791249789918464e-05
4.073858902605328e-05,2.6791249789918464e-05,2.925281569332583e-05
2.6791249789918464e-05,2.925281569332583e-05,5.616830731014488e-05
2.925281569332583e-05,5.616830731014488e-05,3.1143916567089035e-05
5.616830731014488e-05,3.1143916567089035e-05,2.737663301862388e-05
3.1143916567089035e-05,2.737663301862388e-05,4.448546800025118e-05
2.737663301862388e-05,4.448546800025118e-05,1.898090188963882e-05
4.448546800025118e-05,1.898090188963882e-05,1.982269350264687e-05
1.898090188963882e-05,1.982269350264687e-05,1.795963074376535e-05
1.982269350264687e-05,1.795963074376535e-05,1.7937848345657887e-05
1.795963074376535e-05,1.7937848345657887e-05,2.368101180157585e-05
1.7937848345657887e-05,2.368101180157585e-05,2.942417525749381e-05
2.368101180157585e-05,2.942417525749381e-05,2.854245114273605e-05
2.942417525749381e-05,2.854245114273605e-05,2.766072702797828e-05
2.854245114273605e-05,2.766072702797828e-05,1.896172049479598e-05
2.766072702797828e-05,1.896172049479598e-05,2.594265060906764e-05
1.896172049479598e-05,2.594265060906764e-05,2.707068269955925e-05
2.594265060906764e-05,2.707068269955925e-05,2.4688035045983268e-05
2.707068269955925e-05,2.4688035045983268e-05,2.230538739240728e-05
2.4688035045983268e-05,2.230538739240728e-05,1.9922739738831297e-05
2.230538739240728e-05,1.9922739738831297e-05,2.203538436636639e-05
1.9922739738831297e-05,2.203538436636639e-05,1.7633125171793532e-05
2.203538436636639e-05,1.7633125171793532e-05,1.3230865977220674e-05
1.7633125171793532e-05,1.3230865977220674e-05,2.469060503547856e-05
1.3230865977220674e-05,2.469060503547856e-05,2.791148502486369e-05
2.469060503547856e-05,2.791148502486369e-05,2.182777643611189e-05
2.791148502486369e-05,2.182777643611189e-05,2.4533275639745018e-05
2.182777643611189e-05,2.4533275639745018e-05,2.4734349810589465e-05
2.4533275639745018e-05,2.4734349810589465e-05,2.493542398143392e-05
2.4734349810589465e-05,2.493542398143392e-05,2.5136498152278364e-05
